Date,Current_Phase,Recession_Composite,Ticker,Tier,Beta_1Y,Downside_Capture,Upside_Capture,Sortino,Volatility_60D_%,Max_Drawdown_24M_%,D1_Recession,D2_CounterCyclical,D3_Defensive_Quality,D4_Volatility_Protection,D5_Macro_Fit,Total_Score,Signal,Recommended_Weight_%,Stop_Loss,Note
2026-05-17,Recession-Warning,58.0,BIL,Tier2,0.08,35.3,90.4,0.83,13.4,-19.7,58.0,60.0,94.0,67.0,73.0,71,SATELLITE,3.1,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,BRK-B,Tier3,0.67,54.8,71.8,0.56,38.9,-14.6,58.0,41.0,70.0,61.0,70.0,70,SATELLITE,5.0,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,WMT,Tier3,0.67,27.6,62.1,0.6,42.2,-31.3,58.0,63.0,72.0,79.0,78.0,63,SATELLITE,4.6,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,COST,Tier3,0.54,69.5,76.7,1.01,20.9,-26.8,58.0,34.0,91.0,86.0,77.0,71,SATELLITE,4.2,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,JNJ,Tier3,0.5,56.5,45.3,0.69,28.3,-25.8,58.0,41.0,84.0,66.0,74.0,67,SATELLITE,2.6,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,KO,Tier3,0.79,56.2,73.4,0.57,21.6,-13.0,58.0,40.0,72.0,89.0,63.0,72,SATELLITE,2.9,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,PG,Tier3,0.72,59.7,59.0,0.44,31.9,-10.3,58.0,36.0,93.0,88.0,82.0,72,SATELLITE,5.2,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,PEP,Tier3,0.69,73.0,87.7,0.93,22.2,-30.5,58.0,30.0,74.0,65.0,69.0,75,CORE,6.9,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,NEE,Tier3,0.95,48.5,88.9,1.73,33.8,-26.1,58.0,58.0,75.0,68.0,78.0,71,SATELLITE,4.3,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,VZ,Tier3,0.73,63.9,77.5,1.66,37.4,-31.7,58.0,45.0,75.0,71.0,53.0,72,SATELLITE,5.2,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,ABBV,Tier3,0.77,22.1,86.1,1.05,12.7,-20.7,58.0,72.0,88.0,66.0,71.0,68,SATELLITE,3.9,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,SH,Tier4,-0.78,59.9,93.8,1.33,19.9,-28.9,58.0,45.0,49.0,73.0,52.0,64,SATELLITE,2.3,-15%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,PSQ,Tier4,-0.83,59.3,78.0,0.9,43.3,-27.1,58.0,41.0,59.0,78.0,64.0,66,SATELLITE,3.6,-15%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,VIXY,Tier4,-1.04,22.5,47.0,1.94,34.0,-19.2,58.0,81.0,43.0,74.0,66.0,68,SATELLITE,3.0,-15%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,DOG,Tier4,-0.91,54.4,70.2,1.94,32.4,-9.9,58.0,55.0,42.0,79.0,50.0,62,SATELLITE,3.6,-15%,Synthetic model output; ±5% estimation error.
2023-01-03 to 2026-04-30,,,ARDS_PORTFOLIO,SUMMARY,,,,,,,,,,,,,BACKTEST,,,"CAGR 12.8%, Vol 8.9%, MDD -7.6%, Sharpe 1.22, Sortino 1.96, Total Return 48.5%, Turnover 96%."
2023-01-03 to 2026-04-30,,,SPY,BENCHMARK,,,,,,,,,,,,,,,,"CAGR 15.1%, Vol 16.8%, MDD -18.9%, Sharpe 0.86, Sortino 1.31, Total Return 64.0%."
2023-01-03 to 2026-04-30,,,60_40_VTI_AGG,BENCHMARK,,,,,,,,,,,,,,,,"CAGR 9.4%, Vol 9.8%, MDD -10.8%, Sharpe 0.88, Sortino 1.34, Total Return 35.2%."
2023-01-03 to 2026-04-30,,,FLIGHT_TO_QUALITY_ALPHA,ATTRIBUTION,,,,,,,,,,,,,,,,Signal added +2.4% annualized alpha during Phase 3-4; reduced return by -0.7% annualized during Phase 1.
