date,usdkrw,usdt_bithumb_krw,btc_binance_usdt,btc_bithumb_krw,eth_binance_usdt,eth_bithumb_krw,bnb_binance_usdt,bnb_bithumb_krw,xvs_binance_usdt,xvs_bithumb_krw,btc_okx_usdt,eth_okx_usdt,bnb_okx_usdt,btc_bybit_usdt,eth_bybit_usdt,bnb_bybit_usdt
2020-02-20,1182.5855,1199.1460,7283.2639,8796743.9388,145.4615,176277.7070,14.6706,,,,7283.6702,145.3390,14.6820,7283.0850,145.5643,14.6661
2020-02-21,1192.2811,1206.4362,7211.4592,8753962.7579,147.2445,177318.9278,14.3948,,,,7211.1326,147.4237,14.4045,7200.6323,147.4585,14.3651
2020-02-22,1186.9828,1194.9014,7183.5322,8556082.1235,148.5185,177552.6533,14.6061,,,,7172.0284,148.6703,14.6210,7173.2885,148.4486,14.5977
2020-02-23,1186.6313,1203.4551,7187.2186,8663685.6311,148.8418,180923.3456,14.7671,,,,7169.5554,148.3835,14.7794,7176.0773,148.6155,14.7304
2020-02-24,1192.3473,1202.8082,7098.5963,8567003.8845,145.5334,178086.8694,14.4642,,,,7083.8409,145.0365,14.4856,7102.2729,145.5885,14.4565
2020-02-25,1192.8908,1206.6180,7068.0029,8593373.2297,142.5281,172718.3704,14.2667,,,,7052.4856,141.9089,14.3024,7064.1701,142.8185,14.2749
2020-02-26,1189.2480,1195.0171,7017.8006,8552078.8771,144.9364,176491.2962,14.3855,,,,7024.9683,144.6131,14.4270,7025.9171,145.1314,14.4042
2020-02-27,1188.9246,1207.4311,7112.8559,8631519.2420,144.8037,175033.6502,14.2317,,,,7112.4754,144.6843,14.2246,7120.2203,145.2206,14.2100
2020-02-28,1191.6603,1205.7378,7175.0238,8623759.4192,145.5435,175152.8026,14.0409,,,,7169.8296,145.4973,14.0407,7201.2630,146.2288,14.0154
2020-02-29,1192.8296,1210.9488,7308.1781,8831728.2019,146.4034,178272.0518,14.0905,,,,7315.0845,146.5200,14.0926,7346.7450,146.9028,14.0721
2020-03-01,1186.8891,1194.0621,7404.2269,8939151.3842,145.6397,175354.1717,14.1929,,,,7401.6462,146.0747,14.1952,7437.0472,146.1610,14.1521
2020-03-02,1189.9118,1206.5063,7483.0330,9055815.3369,148.5263,182816.5163,14.4159,,,,7484.8237,148.7622,14.4221,7505.2798,148.7074,14.3975
2020-03-03,1187.7311,1202.5536,7516.2359,9128292.9335,149.7675,182833.9289,14.5360,,,,7510.1825,149.9014,14.5117,7526.0934,150.1560,14.5358
2020-03-04,1190.1418,1205.2243,7547.2679,9049890.4653,152.2176,181835.5693,14.4283,,,,7545.3124,152.5257,14.3977,7554.5202,152.3134,14.4290
2020-03-05,1191.3172,1195.7342,7519.5107,9140766.7504,152.1251,185589.1635,14.7386,,,,7519.3894,152.0824,14.6933,7504.5014,151.9264,14.7573
2020-03-06,1196.3973,1205.1947,7609.0951,9183596.2319,150.2539,180874.2618,14.5620,,,,7594.9307,150.0676,14.5329,7596.7002,149.9454,14.5819
2020-03-07,1198.1504,1211.3205,7435.8271,8976041.5590,151.4078,180808.2713,15.0040,,,,7422.4884,151.4802,14.9660,7438.5676,151.2734,15.0254
2020-03-08,1188.0810,1199.2977,7370.3538,8901442.0149,151.2760,182208.0247,15.1845,,,,7364.8734,151.8888,15.1814,7385.1359,151.3011,15.1814
2020-03-09,1196.0573,1213.0836,7480.1700,9011860.0375,149.6471,180755.3848,15.1562,,,,7469.6227,150.1185,15.2165,7486.5978,149.6513,15.1430
2020-03-10,1193.1422,1203.1019,7476.6778,9081748.3352,148.3419,180461.6422,15.1903,,,,7456.2624,148.2098,15.2227,7473.5949,147.8970,15.1741
2020-03-11,1200.1408,1209.1757,7480.8820,9140831.0835,150.6533,182073.2652,15.0020,,,,7469.3014,150.3257,14.9883,7484.3961,150.2387,14.9904
2020-03-12,1192.5946,1203.1059,7387.1284,8928972.0037,155.4514,189225.8328,15.0324,,,,7368.3591,155.3601,15.0088,7389.3696,155.1011,15.0266
2020-03-13,1190.7732,1207.2360,7382.6747,8895093.2111,155.8264,188791.5767,14.8847,,,,7368.0838,155.9979,14.9118,7396.2395,155.6968,14.8625
2020-03-14,1191.7014,1207.1061,7350.3012,8844022.5018,157.6334,189324.6226,15.1696,,,,7329.9012,157.8766,15.1596,7357.7720,157.5433,15.1386
2020-03-15,1194.4648,1199.0974,7359.0642,8870886.9978,156.3661,188118.6562,15.2378,,,,7352.6013,156.4568,15.2486,7349.2133,156.3140,15.2130
2020-03-16,1189.1090,1206.7287,7250.4444,8651929.8331,155.5105,183495.6341,15.2305,,,,7252.8242,155.4211,15.2158,7245.3858,155.7478,15.2270
2020-03-17,1193.1306,1205.4734,7361.4510,8960947.5788,157.3079,191385.1850,15.0195,,,,7364.5126,157.0896,15.0050,7359.9593,157.3583,15.0130
2020-03-18,1186.3244,1205.8088,7232.5061,8651639.8798,156.6245,186763.3981,15.1069,,,,7244.8209,156.5384,15.1239,7231.3770,156.7538,15.1030
2020-03-19,1192.8631,1202.8369,6985.8483,8431394.3808,155.7048,186984.4803,15.1257,,,,7001.9870,155.7357,15.1069,6981.5322,156.0707,15.1546
2020-03-20,1196.1927,1205.8236,6971.3118,8452855.9917,155.9478,190283.4593,15.1599,,,,6986.1201,155.8875,15.1483,6952.6874,156.2013,15.1626
2020-03-21,1196.3967,1210.2524,6938.4374,8349407.6618,157.2526,190554.8783,15.0183,,,,6941.4026,157.3435,15.0397,6911.4462,158.0265,15.0246
2020-03-22,1189.5668,1203.1758,7046.5185,8464451.3937,160.4135,194545.5697,15.3542,,,,7050.8342,160.4653,15.3249,7035.4067,161.1958,15.3793
2020-03-23,1196.1388,1209.6285,7182.2990,8774576.2659,161.3940,194608.8970,15.0155,,,,7191.0378,161.5997,14.9832,7172.1718,161.8432,15.0515
2020-03-24,1202.8693,1214.2839,7067.6467,8515967.9663,162.6784,197082.2062,14.9410,,,,7072.8233,162.8454,14.9256,7056.7845,162.8182,14.9696
2020-03-25,1193.9173,1210.3946,7050.0626,8597158.3054,161.1299,197695.2325,15.0147,,,,7060.6902,161.8206,15.0379,7064.1996,160.7260,15.0248
2020-03-26,1199.4279,1213.6305,7135.6879,8659454.6775,163.6648,197453.9215,15.1384,,,,7146.9905,164.2272,15.1260,7139.9795,163.6096,15.1692
2020-03-27,1199.2974,1209.7149,7260.7874,8739803.1065,162.9471,197415.0584,15.1042,,,,7257.6630,163.0664,15.0917,7255.9141,162.6568,15.1213
2020-03-28,1196.2979,1210.9068,7422.2016,9004020.0017,164.5121,201090.4075,15.2306,,,,7426.1180,164.8900,15.2334,7418.9760,164.7137,15.2372
2020-03-29,1204.3629,1212.5354,7576.8765,9213592.4762,164.1605,197887.5857,15.7478,,,,7593.1107,164.1484,15.7285,7558.2641,164.2817,15.7334
2020-03-30,1197.9852,1209.1078,7780.3878,9519778.6310,160.9664,199507.9304,15.7413,,,,7805.7402,160.5620,15.7312,7761.9190,160.8061,15.7475
2020-03-31,1197.8311,1205.5782,7609.5808,9216381.3937,162.1258,195079.1672,15.6868,,,,7613.1172,161.4915,15.6908,7601.9574,161.8223,15.7265
2020-04-01,1197.1686,1216.3235,7622.9378,9214736.8023,163.4184,194421.3206,15.8293,,,,7616.5058,163.2042,15.8276,7610.3668,163.2236,15.8456
2020-04-02,1198.1233,1211.2758,7686.5102,9376844.3597,163.2553,200913.2709,15.6830,,,,7676.7257,162.9774,15.6855,7674.2695,163.0295,15.7041
2020-04-03,1209.1483,1220.8770,7782.2368,9489685.8082,161.2281,195735.7197,15.8487,,,,7772.7410,161.2027,15.8281,7783.8390,161.1834,15.8621
2020-04-04,1194.0616,1206.6891,7931.2576,9571887.4194,159.9418,193713.3057,15.6437,,,,7923.4084,160.2996,15.5975,7940.8202,159.9137,15.6596
2020-04-05,1193.8378,1211.0909,8026.2389,9718342.0081,161.5780,194781.3113,15.8883,,,,8011.8217,161.4492,15.8708,8023.1995,161.1569,15.8803
2020-04-06,1212.7445,1227.7919,7965.0684,9830399.3667,162.9258,199404.1442,16.1092,,,,7958.0253,163.5916,16.0745,7967.3782,162.7234,16.1135
2020-04-07,1203.2457,1217.4125,8040.3458,9888926.0969,165.1579,202232.1434,16.0432,,,,8034.1188,165.3024,16.0251,8059.5557,164.8911,16.0767
2020-04-08,1200.5977,1210.3918,8054.5307,9820420.7547,165.9906,204269.2333,16.0090,,,,8041.7899,165.6664,15.9984,8065.7591,165.5201,16.0036
2020-04-09,1205.5804,1214.3495,7971.3306,9746674.6248,165.8121,204342.1219,15.7539,,,,7962.9989,166.0118,15.7457,7982.1081,165.6267,15.7179
2020-04-10,1204.3166,1212.2596,8050.9875,9816905.7097,167.9574,201876.9299,15.9064,,,,8047.6292,168.8492,15.9355,8056.8595,168.1226,15.8917
2020-04-11,1201.9080,1211.2722,8120.6224,9818044.6304,170.9261,206483.1720,15.9962,,,,8097.5860,171.1728,16.0313,8124.8469,170.6218,16.0099
2020-04-12,1203.6335,1222.5032,8199.2920,9957037.4739,171.7969,211387.6453,15.9930,,,,8190.1544,172.0763,16.0020,8190.3214,171.6676,16.0302
2020-04-13,1197.8033,1208.7391,8253.0972,9989102.5304,177.8090,216397.9143,15.7559,,,,8252.0153,177.8912,15.7680,8249.5217,177.3213,15.7971
2020-04-14,1195.6778,1207.3791,8257.1118,9902533.0445,178.2779,212984.8028,15.7321,,,,8247.8484,177.8791,15.7758,8244.5789,178.3762,15.7189
2020-04-15,1204.4998,1215.6909,8274.5130,10107451.7924,179.7441,221609.3625,16.3929,,,,8261.5941,179.9719,16.3971,8278.8596,179.6022,16.4000
2020-04-16,1195.2967,1195.4656,8448.1128,10206171.7009,176.4458,213267.2200,16.2035,,,,8440.9777,176.6705,16.2343,8451.1483,176.2877,16.1783
2020-04-17,1208.3800,1218.1765,8541.3197,10418914.6661,178.1036,218901.3212,16.3798,,,,8539.0620,178.6560,16.4266,8536.5395,177.9605,16.3897
2020-04-18,1204.1852,1215.4164,8763.3451,10764797.1884,176.8881,217509.6530,16.3031,,,,8762.6133,177.1949,16.2968,8754.5320,176.2508,16.3363
2020-04-19,1197.7747,1209.4530,8667.5262,10460685.0029,178.6513,215525.9053,16.3665,,,,8661.2792,179.0297,16.3324,8668.0571,178.2382,16.3667
2020-04-20,1202.4718,1209.6458,8712.1399,10599343.7100,179.4772,217054.7618,16.6521,,,,8704.8164,179.6996,16.6226,8716.6099,179.2802,16.6631
2020-04-21,1203.2348,1214.2733,8903.3247,10898937.5907,179.7998,220048.3870,16.5726,,,,8890.3117,179.8777,16.5854,8902.4597,179.5080,16.5989
2020-04-22,1200.2762,1215.4009,8826.1471,10733324.5578,178.1155,219168.2339,17.1618,,,,8823.1847,177.9578,17.1766,8828.8813,178.0584,17.2115
2020-04-23,1202.0705,1215.4294,8708.8687,10579069.5791,178.5594,219084.6530,17.2703,,,,8730.8922,178.4403,17.3014,8694.1313,178.6815,17.3134
2020-04-24,1206.8966,1215.3978,8826.5079,10829010.6464,175.7572,214947.5225,17.2405,,,,8838.8466,175.4520,17.2849,8827.5744,176.2254,17.2516
2020-04-25,1200.2952,1211.0779,8767.6667,10705009.8689,174.3120,211252.8186,17.4573,,,,8766.3989,174.4312,17.4890,8782.4847,174.5530,17.4584
2020-04-26,1206.2911,1218.5490,8775.2321,10766538.3396,175.8716,215709.6492,17.6443,,,,8763.0212,176.0373,17.6211,8794.3113,175.2743,17.6438
2020-04-27,1201.8398,1216.2177,8765.4524,10654880.0345,175.7410,214809.6456,17.7827,,,,8749.8750,175.4253,17.8072,8782.7165,175.1900,17.8178
2020-04-28,1207.5898,1224.2816,8998.6697,10896896.6944,174.3638,210721.4218,17.7357,,,,9018.2771,174.5757,17.7211,8998.6771,173.7036,17.8138
2020-04-29,1203.8150,1213.5840,8915.0363,10787079.6790,173.8683,211850.9049,17.8628,,,,8919.9547,174.4536,17.8331,8919.0175,173.4773,17.8933
2020-04-30,1207.0325,1221.5951,9067.3499,11078003.5330,171.8788,210986.1782,17.7994,,,,9080.1294,172.5808,17.8174,9079.0587,171.5799,17.8407
2020-05-01,1203.0708,1218.4635,8975.7516,10972765.3752,171.3827,211298.3718,17.7243,,,,8982.4203,171.9725,17.7576,8967.2105,170.9943,17.7145
2020-05-02,1208.5533,1222.8921,8904.6279,10850369.8588,170.9200,208103.2085,17.5233,,,,8885.0009,171.4121,17.5408,8927.6462,171.0175,17.5435
2020-05-03,1200.1040,1207.5747,8761.9656,10621224.2706,173.2220,212635.3741,18.1008,,,,8748.2182,173.2568,18.1441,8788.4597,173.2388,18.1211
2020-05-04,1203.5961,1209.3248,8649.0203,10554793.8094,171.8158,208141.3926,18.3753,,,,8626.7381,171.9019,18.3979,8669.1379,172.1274,18.3992
2020-05-05,1209.8409,1217.0461,8607.1379,10539083.4447,174.3313,212669.1175,18.5903,,,,8600.4685,174.0428,18.6292,8618.3574,174.5036,18.6089
2020-05-06,1207.0729,1220.7262,8647.7302,10662061.7298,175.8607,219703.6547,18.6770,,,,8648.5357,175.8342,18.7145,8646.6901,176.2033,18.6977
2020-05-07,1202.1998,1213.7364,8807.0308,10827106.4065,175.7672,215614.9685,18.5638,,,,8817.2689,175.3540,18.6246,8800.1708,176.0716,18.5624
2020-05-08,1210.9832,1221.8493,8826.7452,10712833.3986,179.2684,219032.9657,18.2476,,,,8831.6625,178.7653,18.3002,8830.7679,179.4701,18.1934
2020-05-09,1202.0640,1221.1057,8856.7262,10745420.5571,181.6549,220149.3266,18.1840,,,,8871.9925,181.7515,18.1909,8860.7679,181.7124,18.1854
2020-05-10,1209.0754,1224.3789,8792.5525,10680614.8657,185.3506,226147.7623,18.3685,,,,8819.0048,185.2206,18.3660,8775.1114,185.3671,18.3818
2020-05-11,1212.9332,1221.8402,8712.9662,10701246.2151,186.7442,229407.6565,18.7696,,,,8721.9093,186.4602,18.7198,8707.3105,187.0104,18.7751
2020-05-12,1208.6168,1221.5201,8768.8868,10707273.8345,186.0465,228043.1157,18.8112,,,,8767.2641,185.5932,18.7826,8749.4288,185.9735,18.8385
2020-05-13,1207.5106,1219.4704,9001.1843,11106598.7329,188.5246,232134.5337,18.7833,,,,9008.0851,188.4764,18.7506,9007.2570,188.5342,18.7846
2020-05-14,1203.8212,1215.3094,9094.7235,11099152.3971,192.0215,237510.2027,18.7470,,,,9095.9755,192.4679,18.6753,9108.1705,192.7498,18.7420
2020-05-15,1209.7003,1221.9341,9232.0373,11369293.7763,193.3467,236347.3818,19.0648,,,,9226.2699,193.4107,19.0270,9230.4052,194.1611,19.0745
2020-05-16,1209.5626,1218.6871,9247.9228,11288943.4305,197.0074,234716.1670,19.1774,,,,9246.5603,197.3423,19.1422,9233.2173,197.1455,19.1566
2020-05-17,1207.6346,1223.6056,9283.2583,11379392.7624,204.8524,247105.7836,19.0921,,,,9270.3304,204.7508,19.0001,9277.6093,205.6032,19.0224
2020-05-18,1212.2571,1225.3220,9422.1006,11654006.1739,207.7615,258059.8509,19.4348,,,,9417.3883,207.2299,19.3593,9410.5129,208.2338,19.4045
2020-05-19,1205.1370,1217.4953,9563.7614,11676946.2871,204.5797,248505.2853,19.3879,,,,9569.1217,203.9241,19.3302,9567.5971,204.4708,19.3874
2020-05-20,1206.3633,1219.8934,9481.8406,11564021.8682,205.8373,252642.5580,19.7237,,,,9488.5155,205.7942,19.7568,9487.5937,205.5051,19.6618
2020-05-21,1209.1457,1220.0121,9792.6275,12014369.9607,204.9591,248082.4474,19.5791,,,,9800.3387,205.1437,19.5961,9785.0914,204.6962,19.5707
2020-05-22,1210.6998,1224.8269,9684.5606,11922416.8755,204.0809,251600.0419,19.3389,,,,9681.9525,203.7056,19.3768,9700.6174,203.6351,19.3184
2020-05-23,1205.9521,1218.4896,9840.6363,12010557.6154,205.0146,250878.9567,19.1050,,,,9849.4824,204.3666,19.1241,9871.3160,204.5063,19.0724
2020-05-24,1214.1693,1224.6598,9950.2468,12195682.5069,208.3563,251867.8620,18.9020,,,,9954.5806,208.0501,18.9265,9972.7528,207.3791,18.9059
2020-05-25,1212.8582,1229.1828,9997.5642,12243488.8254,209.9945,261441.1479,19.3507,,,,9987.6801,209.9371,19.3532,10013.7214,209.6529,19.3604
2020-05-26,1206.6304,1211.7188,9998.6950,12176726.0832,209.7082,256020.9328,19.2215,,,,9992.9297,209.1447,19.1973,10029.0881,209.9211,19.2230
2020-05-27,1209.2304,1220.6880,9952.9255,12313298.5855,210.6106,263256.6743,19.3062,,,,9923.9577,210.6060,19.3254,9952.8105,210.7628,19.3337
2020-05-28,1215.9793,1229.6656,10051.3175,12516218.0343,213.9808,267428.2437,19.3212,,,,10031.2784,213.6761,19.3198,10041.9247,214.3189,19.3477
2020-05-29,1208.8744,1218.7418,10151.6703,12552721.2135,214.2853,264053.7657,19.2413,,,,10123.4121,214.5288,19.1990,10138.2978,215.0172,19.2316
2020-05-30,1209.8566,1217.4131,10252.3315,12651515.0480,214.4030,264461.6049,19.6234,,,,10223.8778,214.8779,19.6147,10220.1152,214.6647,19.6389
2020-05-31,1215.7192,1233.9792,10241.3937,12691990.8271,218.1915,269326.1956,19.7193,,,,10253.7948,218.6570,19.7000,10204.2810,218.5341,19.7029
2020-06-01,1209.0851,1220.4603,10520.7452,12826791.8243,219.4743,266295.7948,19.7648,,,,10516.0757,219.6888,19.8282,10501.4012,219.9754,19.7110
2020-06-02,1212.1063,1229.6485,10432.4632,12867453.3653,223.7479,273316.5132,19.5329,,,,10412.2965,224.1791,19.5403,10431.1359,224.6553,19.4932
2020-06-03,1216.3015,1224.1046,10492.3054,12980465.6188,224.5901,277711.0469,19.2850,,,,10481.1341,224.6580,19.3122,10501.6382,224.0009,19.2403
2020-06-04,1215.1290,1222.6635,10537.2573,12983463.1747,228.1637,281950.0724,19.5530,,,,10546.0898,227.4356,19.5392,10551.5722,227.3823,19.5235
2020-06-05,1216.4244,1228.3235,10570.4314,13136854.5604,234.4935,290829.5765,19.4333,,,,10569.2699,234.0834,19.4206,10579.2325,233.5962,19.4063
2020-06-06,1215.6116,1230.0890,10513.8059,13002264.2338,240.2629,296358.7553,19.0610,,,,10517.2055,239.7754,19.0505,10519.3842,239.8466,19.0517
2020-06-07,1217.9780,1236.8422,10474.7720,12841223.5338,242.2765,294755.2956,19.1864,,,,10486.9252,241.9350,19.1575,10499.0752,241.9234,19.1237
2020-06-08,1210.0643,1227.5114,10482.6508,13047097.7627,243.6208,303210.4272,19.3626,,,,10501.1503,243.3789,19.3184,10487.5681,243.7287,19.3596
2020-06-09,1216.9097,1226.2470,10566.7105,13008741.8455,245.2454,304908.8675,19.1318,,,,10557.4457,244.4904,19.0844,10556.9076,245.3027,19.1537
2020-06-10,1206.5730,1217.1209,10611.1131,13031841.8853,247.9778,301528.2467,19.3650,,,,10611.6560,248.0380,19.3333,10601.5822,248.3376,19.4152
2020-06-11,1212.6567,1222.0799,10749.1420,13208720.2159,246.9291,300318.0051,19.2005,,,,10744.1748,246.9493,19.2027,10716.4746,247.4874,19.2243
2020-06-12,1206.9505,1213.6124,10929.3299,13420398.5507,246.7139,305789.3826,19.1487,,,,10918.0625,246.4519,19.1259,10920.6387,246.7526,19.1103
