date,eth_binance_okx,eth_binance_bybit,eth_okx_bybit,eth_binance_bithumb,eth_okx_bithumb,eth_bybit_bithumb,bnb_binance_okx,bnb_binance_bybit,bnb_okx_bybit,bnb_binance_bithumb,bnb_okx_bithumb,bnb_bybit_bithumb
2020-02-14,-0.003188,0.001411,0.004613,-0.004690,-0.007863,-0.003286,-0.000317,-0.001911,-0.001595,,,
2020-02-15,0.000345,0.001467,0.001121,0.006825,0.007173,0.008303,0.000488,-0.002692,-0.003178,,,
2020-02-16,0.003857,0.001954,-0.001896,0.006782,0.010665,0.008749,-0.000356,-0.002545,-0.002189,,,
2020-02-17,0.002370,0.001575,-0.000793,0.003404,0.005782,0.004984,0.000481,0.000606,0.000126,,,
2020-02-18,0.003108,0.002756,-0.000351,-0.001380,0.001724,0.001372,0.000962,0.001981,0.001018,,,
2020-02-19,0.002269,0.003645,0.001373,-0.004359,-0.002100,-0.000730,-0.000633,-0.000393,0.000241,,,
2020-02-20,0.000899,-0.000731,-0.001628,0.003352,0.004254,0.002619,-0.000721,0.000282,0.001004,,,
2020-02-21,-0.001261,-0.002950,-0.001691,-0.007948,-0.009199,-0.010875,-0.000722,0.000560,0.001283,,,
2020-02-22,-0.002621,-0.000956,0.001669,0.003713,0.001083,0.002754,-0.002616,-0.000848,0.001772,,,
2020-02-23,0.000624,-0.000030,-0.000653,0.008388,0.009017,0.008358,-0.003288,0.000940,0.004241,,,
2020-02-24,0.001340,0.000139,-0.001199,0.013941,0.015300,0.014082,-0.003553,0.001051,0.004620,,,
2020-02-25,0.002159,-0.002575,-0.004723,-0.003285,-0.001133,-0.005851,-0.004685,-0.001114,0.003588,,,
2020-02-26,0.003259,-0.000188,-0.003436,-0.000748,0.002509,-0.000936,-0.001856,-0.000146,0.001713,,,
2020-02-27,0.000772,-0.001838,-0.002608,-0.003910,-0.003141,-0.005741,0.000445,0.002566,0.002120,,,
2020-02-28,-0.000407,-0.001047,-0.000640,0.001270,0.000862,0.000222,-0.000706,0.005486,0.006196,,,
2020-02-29,0.000148,0.001860,0.001712,0.007617,0.007767,0.009491,0.000797,0.006589,0.005787,,,
2020-03-01,-0.003325,0.000850,0.004189,-0.002714,-0.006030,-0.001866,-0.000513,0.007326,0.007844,,,
2020-03-02,-0.001347,0.001752,0.003102,0.017097,0.015727,0.018878,-0.000189,0.004257,0.004447,,,
2020-03-03,-0.001698,-0.001279,0.000419,0.005194,0.003488,0.003909,0.000864,0.001324,0.000459,,,
2020-03-04,-0.002279,0.000331,0.002616,-0.003768,-0.006038,-0.003438,0.001866,0.000912,-0.000952,,,
2020-03-05,0.000265,-0.000691,-0.000955,0.003595,0.003861,0.002902,0.003067,-0.003263,-0.006311,,,
2020-03-06,-0.000622,0.000425,0.001048,-0.002596,-0.003216,-0.002171,0.000139,-0.002989,-0.003128,,,
2020-03-07,-0.002271,0.001257,0.003537,-0.010731,-0.012978,-0.009487,0.000743,-0.001057,-0.001799,,,
2020-03-08,-0.004775,0.001840,0.006647,-0.002701,-0.007463,-0.000866,-0.000540,0.002212,0.002754,,,
2020-03-09,-0.004546,0.000831,0.005401,0.002582,-0.001975,0.003415,-0.005365,0.001734,0.007137,,,
2020-03-10,-0.001841,0.002595,0.004444,0.001521,-0.000323,0.004120,-0.004855,0.000655,0.005536,,,
2020-03-11,0.000628,0.003231,0.002601,-0.010913,-0.010291,-0.007717,-0.000635,0.001244,0.001880,,,
2020-03-12,-0.001954,0.002563,0.004526,0.007071,0.005103,0.009652,-0.000975,0.000692,0.001668,,,
2020-03-13,-0.003074,0.002671,0.005763,0.005553,0.002462,0.008239,-0.003792,0.003331,0.007150,,,
2020-03-14,-0.004311,0.001589,0.005926,-0.001808,-0.006111,-0.000222,-0.002115,0.003067,0.005193,,,
2020-03-15,-0.001457,-0.001006,0.000452,-0.001967,-0.003422,-0.002971,-0.001584,0.000289,0.001876,,,
2020-03-16,0.000904,-0.002220,-0.003121,-0.011179,-0.010285,-0.013374,0.001293,-0.000468,-0.001759,,,
2020-03-17,0.001806,-0.000523,-0.002325,-0.000536,0.001269,-0.001058,0.001381,0.000228,-0.001151,,,
2020-03-18,0.002254,-0.000981,-0.003227,-0.003167,-0.000921,-0.004145,0.000580,0.000100,-0.000479,,,
2020-03-19,0.002111,-0.002961,-0.005061,-0.004999,-0.002899,-0.007946,0.003555,-0.002522,-0.006056,,,
2020-03-20,0.002512,-0.004290,-0.006785,0.006312,0.008840,0.001995,0.002894,-0.002848,-0.005726,,,
2020-03-21,-0.000151,-0.008768,-0.008619,0.006997,0.006845,-0.001832,-0.000997,-0.004309,-0.003316,,,
2020-03-22,0.000290,-0.006422,-0.006710,0.009616,0.009908,0.003132,0.002523,-0.003207,-0.005716,,,
2020-03-23,-0.000057,-0.004182,-0.004124,-0.013010,-0.013067,-0.017137,0.003377,-0.003799,-0.007152,,,
2020-03-24,-0.000294,-0.002394,-0.002101,0.005445,0.005149,0.003038,0.001764,-0.003443,-0.005198,,,
2020-03-25,-0.002767,0.004523,0.007311,0.006139,0.003355,0.010690,-0.000039,0.001332,0.001371,,,
2020-03-26,-0.001846,0.000939,0.002790,-0.005841,-0.007676,-0.004907,0.002402,-0.001433,-0.003826,,,
2020-03-27,-0.001161,0.001112,0.002277,0.006504,0.005336,0.007624,0.000399,-0.001799,-0.002197,,,
2020-03-28,-0.001765,-0.001658,0.000108,0.007604,0.005825,0.005933,0.000343,-0.000869,-0.001211,,,
2020-03-29,0.002216,-0.003192,-0.005397,-0.008686,-0.006489,-0.011851,0.003371,-0.001546,-0.004901,,,
2020-03-30,0.005785,-0.001379,-0.007123,0.012976,0.018837,0.011579,0.003900,-0.002767,-0.006641,,,
2020-03-31,0.004394,0.000872,-0.003507,-0.006520,-0.002155,-0.005654,0.000208,-0.003523,-0.003730,,,
2020-04-01,0.000467,-0.000457,-0.000924,-0.015802,-0.015342,-0.016252,-0.000737,-0.002678,-0.001943,,,
2020-04-02,0.000430,-0.000210,-0.000639,0.008820,0.009254,0.008609,-0.001433,-0.002937,-0.001505,,,
2020-04-03,-0.001063,0.000484,0.001548,-0.004407,-0.005465,-0.003925,0.000079,-0.000642,-0.000721,,,
2020-04-04,-0.003219,0.001382,0.004616,0.003557,0.000326,0.004943,0.001969,0.000187,-0.001779,,,
2020-04-05,-0.001000,0.002233,0.003237,-0.004400,-0.005395,-0.002176,-0.000696,0.000127,0.000823,,,
2020-04-06,-0.004950,0.001534,0.006517,-0.008340,-0.013249,-0.006819,0.001273,0.000024,-0.001247,,,
2020-04-07,-0.001648,0.004011,0.005668,-0.004419,-0.006060,-0.000426,0.000357,0.000300,-0.000056,,,
2020-04-08,0.000372,0.004241,0.003867,0.009322,0.009697,0.013602,-0.000923,0.001729,0.002655,,,
2020-04-09,-0.002247,0.002473,0.004730,0.007897,0.005632,0.010389,-0.000522,0.003645,0.004169,,,
2020-04-10,-0.005697,-0.000254,0.005474,-0.014261,-0.019876,-0.014511,-0.002243,0.001652,0.003904,,,
2020-04-11,-0.004274,0.002305,0.006607,-0.000827,-0.005097,0.001476,-0.005018,-0.000336,0.004706,,,
2020-04-12,-0.002736,-0.000342,0.002401,0.013236,0.010463,0.012890,-0.001678,-0.003413,-0.001738,,,
2020-04-13,-0.000593,0.002316,0.002910,0.005518,0.004922,0.007846,-0.000897,-0.003039,-0.002144,,,
2020-04-14,0.001118,-0.002068,-0.003182,-0.003831,-0.002718,-0.005891,-0.003887,-0.000679,0.003220,,,
2020-04-15,-0.002825,0.001316,0.004153,0.009332,0.006481,0.010661,-0.001815,0.000095,0.001913,,,
2020-04-16,-0.002115,0.001256,0.003379,0.000483,-0.001633,0.001740,-0.002737,0.001920,0.004670,,,
2020-04-17,-0.003356,0.000244,0.003612,0.007577,0.004196,0.007823,-0.003114,-0.001163,0.001957,,,
2020-04-18,-0.001815,0.002607,0.004429,0.001023,-0.000794,0.003632,0.000302,-0.003033,-0.003334,,,
2020-04-19,-0.002833,0.002379,0.005226,-0.000395,-0.003227,0.001983,0.001368,0.000048,-0.001318,,,
2020-04-20,-0.002077,0.001613,0.003697,-0.005955,-0.008020,-0.004352,0.000934,-0.000147,-0.001080,,,
2020-04-21,-0.001894,0.001528,0.003429,-0.000237,-0.002131,0.001291,-0.002234,-0.001682,0.000553,,,
2020-04-22,0.000550,0.000631,0.000080,0.011842,0.012399,0.012480,-0.001195,-0.002580,-0.001386,,,
2020-04-23,0.003198,-0.002374,-0.005554,0.010051,0.013281,0.007653,0.000729,-0.004179,-0.004905,,,
2020-04-24,0.003140,-0.002536,-0.005658,-0.003174,-0.000044,-0.005702,-0.001172,-0.000524,0.000649,,,
2020-04-25,-0.000828,0.000307,0.001136,-0.007405,-0.008226,-0.007100,-0.001958,0.001626,0.003591,,,
2020-04-26,-0.002331,0.005590,0.007939,-0.000331,-0.002661,0.005257,-0.000074,0.002204,0.002278,,,
2020-04-27,0.000020,0.005121,0.005101,0.005556,0.005576,0.010706,-0.003151,-0.000006,0.003155,,,
2020-04-28,0.000963,0.003802,0.002836,-0.002006,-0.001045,0.001788,0.003006,-0.004383,-0.007367,,,
2020-04-29,-0.002805,0.002702,0.005523,0.006999,0.004174,0.009720,0.002219,-0.001261,-0.003472,,,
2020-04-30,-0.002664,0.003036,0.005715,0.004733,0.002056,0.007783,0.000399,-0.001025,-0.001423,,,
2020-05-01,-0.002689,0.001318,0.004018,0.008519,0.005806,0.009847,-0.001134,-0.000398,0.000736,,,
2020-05-02,-0.005068,0.002014,0.007118,-0.000789,-0.005854,0.001223,-0.003198,0.001429,0.004642,,,
2020-05-03,-0.001769,0.002926,0.004704,0.012650,0.010858,0.015614,-0.003953,0.001902,0.005878,,,
2020-05-04,-0.003076,0.000512,0.003599,-0.007313,-0.010366,-0.006805,-0.003800,0.001022,0.004840,,,
2020-05-05,0.000882,0.000315,-0.000566,-0.003712,-0.002834,-0.003398,-0.002861,0.000303,0.003173,,,
2020-05-06,0.000244,-0.002065,-0.002308,0.013280,0.013527,0.011188,-0.001909,-0.001225,0.000685,,,
2020-05-07,0.003521,-0.002506,-0.006007,-0.002166,0.001347,-0.004667,-0.002107,-0.000704,0.001406,,,
2020-05-08,0.003373,-0.000669,-0.004028,0.006704,0.010100,0.006031,-0.002320,0.003437,0.005771,,,
2020-05-09,0.001191,0.000140,-0.001050,-0.001105,0.000085,-0.000965,0.001345,0.000381,-0.000962,,,
2020-05-10,0.003713,-0.002073,-0.005764,0.004424,0.008153,0.002342,0.003147,-0.002704,-0.005832,,,
2020-05-11,0.002551,-0.002072,-0.004611,0.000213,0.002765,-0.001859,0.003687,-0.000940,-0.004611,,,
2020-05-12,0.002257,-0.001827,-0.004075,0.003832,0.006098,0.001998,0.001337,-0.003666,-0.004997,,,
2020-05-13,0.001023,0.000624,-0.000399,-0.002092,-0.001072,-0.001470,0.002512,0.000608,-0.001900,,,
2020-05-14,-0.002182,-0.002306,-0.000124,0.013519,0.011308,0.011183,0.003977,0.001744,-0.002224,,,
2020-05-15,-0.000955,-0.004370,-0.003419,-0.007391,-0.008339,-0.011729,0.001360,-0.000684,-0.002041,,,
2020-05-16,-0.001844,-0.002289,-0.000446,-0.023997,-0.025796,-0.026231,0.001689,-0.000508,-0.002193,,,
2020-05-17,-0.000897,-0.004258,-0.003364,-0.015936,-0.016819,-0.020126,0.003444,0.003053,-0.000390,,,
2020-05-18,0.002064,-0.003495,-0.005548,0.004218,0.006290,0.000708,0.003397,0.000330,-0.003057,,,
2020-05-19,0.003777,0.000934,-0.002833,-0.005116,-0.001358,-0.004187,0.003546,0.000427,-0.003107,,,
2020-05-20,0.000914,0.002224,0.001309,0.006390,0.007309,0.008628,-0.000974,0.003758,0.004737,,,
2020-05-21,-0.000113,0.000514,0.000627,-0.013432,-0.013543,-0.012925,-0.000080,-0.000343,-0.000263,,,
2020-05-22,0.001573,0.003851,0.002274,0.001438,0.003013,0.005294,-0.002223,0.002723,0.004957,,,
2020-05-23,0.004072,0.005611,0.001532,0.002627,0.006710,0.008253,-0.000103,0.004834,0.004937,,,
2020-05-24,0.001908,0.006984,0.005067,-0.013734,-0.011853,-0.006846,-0.000857,0.002057,0.002916,,,
2020-05-25,-0.000715,0.003248,0.003966,0.016612,0.015884,0.019914,-0.001119,0.001117,0.002238,,,
2020-05-26,0.002116,0.002022,-0.000093,0.002473,0.004595,0.004501,0.000683,0.002963,0.002279,,,
2020-05-27,-0.002888,-0.000734,0.002161,0.010359,0.007440,0.009617,-0.003902,-0.001433,0.002479,,,
2020-05-28,-0.000571,-0.002511,-0.001941,0.003650,0.003077,0.001130,-0.001921,-0.002305,-0.000385,,,
2020-05-29,-0.003915,-0.004717,-0.000805,-0.003449,-0.007351,-0.008149,-0.000586,-0.000814,-0.000228,,,
2020-05-30,-0.004979,-0.004358,0.000625,-0.000433,-0.005410,-0.004789,-0.002334,-0.003930,-0.001600,,,
2020-05-31,-0.000920,-0.005186,-0.004269,-0.003975,-0.004892,-0.009141,0.002191,-0.002792,-0.004972,,,
2020-06-01,-0.001420,-0.004112,-0.002696,-0.004803,-0.006216,-0.008895,-0.003641,0.000885,0.004542,,,
2020-06-02,-0.003853,-0.004166,-0.000314,-0.009622,-0.013437,-0.013747,-0.002311,0.001910,0.004231,,,
2020-06-03,-0.001367,0.003522,0.004895,-0.000499,-0.001865,0.003021,-0.002474,0.003215,0.005703,,,
2020-06-04,0.004042,0.004800,0.000755,0.002912,0.006966,0.007725,0.001543,0.002871,0.001326,,,
2020-06-05,0.001642,0.004677,0.003030,-0.002049,-0.000411,0.002618,0.000545,0.002227,0.001681,,,
2020-06-06,0.002357,0.002267,-0.000090,-0.002594,-0.000243,-0.000333,0.000874,0.001017,0.000143,,,
2020-06-07,0.002573,0.003783,0.001206,-0.007596,-0.005042,-0.003842,0.002670,0.005607,0.002929,,,
2020-06-08,0.002760,0.000026,-0.002727,-0.000030,0.002730,-0.000004,0.004057,0.000623,-0.003420,,,
2020-06-09,0.002209,-0.001161,-0.003362,0.009889,0.012120,0.008717,0.001606,-0.002070,-0.003670,,,
2020-06-10,-0.000191,-0.002346,-0.002155,-0.009920,-0.010109,-0.012242,0.001691,-0.003480,-0.005162,,,
2020-06-11,-0.000544,-0.005288,-0.004747,-0.010258,-0.010796,-0.015491,-0.000575,-0.004271,-0.003699,,,
2020-06-12,0.000031,-0.000952,-0.000983,0.009385,0.009417,0.008424,0.000160,0.001210,0.001050,,,
2020-06-13,0.002384,-0.002066,-0.004440,0.003576,0.005969,0.001503,0.000642,-0.000261,-0.000903,,,
2020-06-14,-0.003409,0.001474,0.004899,0.002684,-0.000734,0.004162,-0.001016,-0.000396,0.000621,,,
2020-06-15,-0.002541,-0.001972,0.000570,0.004934,0.002380,0.002951,-0.002503,0.001511,0.004024,,,
2020-06-16,0.000302,-0.003927,-0.004228,-0.014425,-0.014128,-0.018296,-0.003728,0.003295,0.007050,,,
2020-06-17,-0.001251,-0.004023,-0.002776,-0.009847,-0.011086,-0.013831,-0.003998,-0.000263,0.003749,,,
2020-06-18,0.000681,-0.003841,-0.004518,-0.005704,-0.005027,-0.009523,0.000861,-0.002334,-0.003192,,,
2020-06-19,-0.004364,-0.004264,0.000100,0.006554,0.002161,0.002261,-0.004694,-0.002751,0.001952,,,
2020-06-20,-0.001633,-0.002172,-0.000540,0.014687,0.013030,0.012483,-0.003602,-0.000958,0.002653,,,
2020-06-21,-0.000593,-0.000823,-0.000230,0.004942,0.004345,0.004115,-0.002062,-0.002524,-0.000463,,,
2020-06-22,-0.000422,0.000985,0.001407,0.008384,0.007959,0.009377,-0.003485,-0.001883,0.001607,,,
2020-06-23,0.000653,-0.001369,-0.002020,-0.008381,-0.007733,-0.009738,-0.001265,-0.002974,-0.001712,,,
2020-06-24,0.001417,0.003441,0.002021,0.006752,0.008178,0.010216,0.000289,0.001151,0.000862,,,
2020-06-25,0.000994,0.000630,-0.000364,0.001651,0.002647,0.002282,0.001884,0.002921,0.001034,,,
2020-06-26,0.000533,0.004993,0.004458,0.012058,0.012597,0.017111,-0.002184,0.005459,0.007660,,,
2020-06-27,0.000541,0.001823,0.001281,0.007681,0.008227,0.009519,-0.003594,0.003783,0.007404,,,
2020-06-28,0.000696,-0.002549,-0.003243,-0.002279,-0.001584,-0.004822,0.000345,0.002212,0.001866,,,
2020-06-29,-0.001820,-0.000552,0.001271,-0.001833,-0.003650,-0.002384,0.000601,0.004736,0.004133,,,
2020-06-30,-0.000639,-0.000012,0.000627,0.012215,0.011568,0.012203,0.003119,0.000678,-0.002434,,,
2020-07-01,-0.002994,-0.000184,0.002818,0.006483,0.003470,0.006298,0.000833,-0.003063,-0.003893,,,
2020-07-02,-0.003778,-0.003131,0.000650,-0.009407,-0.013150,-0.012509,-0.000856,-0.005263,-0.004411,,,
2020-07-03,0.001055,-0.000851,-0.001904,-0.009517,-0.008472,-0.010360,0.001994,-0.006049,-0.008027,,,
2020-07-04,-0.001691,-0.000684,0.001008,0.003862,0.002165,0.003175,0.001989,0.000983,-0.001004,,,
2020-07-05,-0.001488,0.002675,0.004170,-0.007683,-0.009159,-0.005028,0.001137,0.003432,0.002292,,,
2020-07-06,-0.003591,0.004719,0.008340,0.002439,-0.001161,0.007169,0.001740,0.002574,0.000833,,,
2020-07-07,-0.004446,0.002796,0.007275,0.001539,-0.002914,0.004339,-0.002371,0.002774,0.005157,,,
2020-07-08,-0.002520,-0.000134,0.002393,-0.009504,-0.012000,-0.009636,-0.000482,0.001715,0.002198,,,
2020-07-09,-0.003101,-0.001964,0.001140,-0.003868,-0.006957,-0.005825,-0.003135,0.000146,0.003291,,,
2020-07-10,-0.000690,-0.000267,0.000424,-0.006380,-0.007065,-0.006645,0.000170,-0.004276,-0.004445,,,
2020-07-11,-0.002645,0.000997,0.003651,-0.003785,-0.006420,-0.002792,-0.000712,-0.002199,-0.001488,,,
2020-07-12,-0.001733,0.000868,0.002605,-0.000181,-0.001914,0.000686,-0.002314,-0.000343,0.001975,,,
2020-07-13,-0.003066,-0.000086,0.002989,0.009026,0.005933,0.008939,-0.002600,0.000255,0.002863,,,
2020-07-14,-0.004238,-0.002320,0.001926,0.013072,0.008779,0.010722,-0.001215,-0.003132,-0.001919,,,
2020-07-15,-0.001507,-0.003776,-0.002272,-0.009261,-0.010754,-0.013001,0.000009,-0.002017,-0.002026,,,
2020-07-16,-0.002679,-0.000814,0.001870,0.003746,0.001057,0.002929,-0.000871,-0.001766,-0.000895,,,
2020-07-17,-0.002437,-0.003036,-0.000600,0.002293,-0.000150,-0.000750,-0.001251,-0.001241,0.000011,,,
2020-07-18,-0.001847,0.000078,0.001928,-0.005028,-0.006865,-0.004951,0.000016,-0.001015,-0.001031,,,
2020-07-19,0.000047,-0.001155,-0.001203,-0.005636,-0.005588,-0.006784,-0.000449,0.001653,0.002104,,,
2020-07-20,0.000721,-0.000667,-0.001387,0.008759,0.009487,0.008087,0.002263,0.006001,0.003729,,,
2020-07-21,-0.001889,-0.001806,0.000083,-0.006944,-0.008820,-0.008737,-0.000113,0.001160,0.001272,,,
2020-07-22,-0.002690,-0.003446,-0.000758,-0.011046,-0.013705,-0.014453,-0.003857,-0.000359,0.003511,,,
2020-07-23,-0.002182,-0.002368,-0.000187,0.011213,0.009007,0.008818,-0.002535,-0.001145,0.001394,,,
2020-07-24,0.000419,0.002329,0.001909,-0.015658,-0.015246,-0.013365,0.001823,0.002373,0.000549,,,
2020-07-25,0.000777,-0.000412,-0.001188,-0.002441,-0.001665,-0.002852,0.001002,0.000687,-0.000315,,,
2020-07-26,0.000980,0.001475,0.000495,-0.004502,-0.003526,-0.003033,-0.002224,-0.001210,0.001016,,,
2020-07-27,-0.000462,0.001466,0.001929,0.001318,0.000856,0.002786,-0.000539,-0.000689,-0.000150,,,
2020-07-28,-0.000525,0.000106,0.000631,0.007994,0.007464,0.008100,0.000041,0.001546,0.001505,,,
2020-07-29,0.001157,-0.001249,-0.002403,0.012301,0.013472,0.011037,0.000469,0.002470,0.002000,,,
2020-07-30,0.000592,-0.003028,-0.003618,0.004805,0.005399,0.001762,-0.001957,-0.002366,-0.000410,,,
2020-07-31,-0.002754,-0.002931,-0.000177,0.004437,0.001670,0.001493,-0.004135,-0.000210,0.003941,,,
2020-08-01,-0.004186,-0.000537,0.003664,-0.003822,-0.007991,-0.004356,-0.006238,-0.001561,0.004706,,,
2020-08-02,-0.006071,-0.000610,0.005494,0.013365,0.007213,0.012747,-0.006981,0.000404,0.007437,,,
2020-08-03,-0.005885,0.000819,0.006744,0.010095,0.004151,0.010923,-0.005030,0.000629,0.005688,,,
2020-08-04,-0.003609,0.001894,0.005523,0.016655,0.012986,0.018581,-0.003298,-0.000105,0.003203,,,
2020-08-05,-0.000030,0.002082,0.002112,-0.007140,-0.007170,-0.005073,-0.002867,0.005068,0.007958,,,
2020-08-06,0.000156,0.000680,0.000524,0.005427,0.005583,0.006111,-0.002130,0.003044,0.005185,,,
2020-08-07,0.003158,0.002123,-0.001031,-0.002478,0.000672,-0.000360,0.001771,0.002551,0.000778,,,
2020-08-08,-0.000704,0.002072,0.002778,-0.007299,-0.007998,-0.005242,0.000966,0.000775,-0.000191,,,
2020-08-09,-0.000826,-0.000280,0.000546,-0.008466,-0.009285,-0.008744,-0.002366,-0.001335,0.001033,,,
2020-08-10,-0.001804,-0.000909,0.000897,-0.007374,-0.009165,-0.008276,-0.001686,-0.002289,-0.000604,,,
2020-08-11,-0.001701,-0.001474,0.000228,-0.006620,-0.008310,-0.008085,-0.002313,-0.006135,-0.003830,,,
2020-08-12,0.000325,-0.000014,-0.000339,0.004490,0.004816,0.004476,-0.003919,-0.001763,0.002165,,,
2020-08-13,0.000844,-0.001313,-0.002155,-0.008328,-0.007491,-0.009630,-0.003716,0.000494,0.004226,,,
2020-08-14,-0.000617,-0.001019,-0.000402,0.004569,0.003949,0.003546,-0.003378,-0.002550,0.000831,,,
2020-08-15,0.001538,-0.002114,-0.003647,0.004015,0.005559,0.001892,-0.000872,-0.002591,-0.001721,,,
2020-08-16,0.004374,-0.002103,-0.006449,-0.000913,0.003457,-0.003014,0.002126,-0.003164,-0.005279,,,
2020-08-17,0.005917,0.000954,-0.004934,-0.007567,-0.001695,-0.006621,-0.000312,-0.002325,-0.002014,,,
2020-08-18,0.001189,-0.000594,-0.001781,0.008280,0.009479,0.007681,-0.001070,-0.004132,-0.003065,,,
